Target No,TFR,Target Speed,Detection Time,mLaunchTime,Intercept Time,Intercept Range
1,159,120,159,799.15,1002.26,99.80
2,220,120,220,796.15,1000,100.10
3,180,120,180,797.15,1001,99.90
4,132,250,132,397,552.45,81.90
5,99,250,99,514,631.27,62.28
6,99,250,99,515.5,632.3,62.02
7,30,300,30,661.37,696.83,11.05
8,20,990,20,210.52,219.05,3.25
9,20,990,20,211.52,219.21,3.05
10,20,990,20,212.52,219.48,2.85
,,,,,,
,,,,,,
,,,,,,
,,,,,,
